              [,1]        [,2]          [,3]
  [1,] -1.13525021 -3.58633423  0.0576982498
  [2,] -1.11325264  3.24580669 -2.0761899948
  [3,] -1.33646941  0.29892540  1.0874681473
  [4,] -2.18872976  8.36491203 -2.7557163239
  [5,] -0.67922044 -6.33913040  1.5010623932
  [6,] -1.16129720 -0.55124569  1.2271142006
  [7,]  1.55550504  1.37362289  2.0040855408
  [8,] -1.68291807  5.99992371 -1.8266584873
  [9,]  3.21877885 -1.25384998  2.2532701492
 [10,] -0.43135834 -1.21866608 -1.8807408810
 [11,]  3.56035972  1.04082203  2.3295259476
 [12,]  2.23366714  4.19343281  0.9861588478
 [13,] -1.56868887 -0.92655182  4.0581860542
 [14,] -0.17623425 -1.77383614 -0.7324442863
 [15,]  1.90949416  2.31181431  0.9521927834
 [16,] -1.01566505  3.52870703 -2.3456430435
 [17,]  3.20405555  0.60036182  2.1007609367
 [18,]  2.96873879  0.01558208  1.9669675827
 [19,] -0.25370860 -6.95866203 -0.0751771927
 [20,] -0.97298408  1.60583401 -1.7887120247
 [21,] -0.60796356 -1.58325386 -0.4557929039
 [22,]  1.97977424  4.30385637  0.7308330536
 [23,] -0.45751119 -1.82693386  1.0164999962
 [24,] -0.77013302 -5.29496574 -1.1506476402
 [25,]  0.98884511 -7.92427826  1.2718038559
 [26,] -0.76798987 -1.36247635  0.9314503670
 [27,] -0.97031355  2.89757776 -1.8007173538
 [28,]  0.53568316 -6.13770866  1.3228912354
 [29,] -1.17549276  2.42782497 -1.5228414536
 [30,] -1.99674642  5.42828178  0.4747323990
 [31,]  1.92002225  0.82026768  1.8274817467
 [32,] -1.18802011  1.37475777  1.3409948349
 [33,] -0.25219131 -3.21606731 -1.6726655960
 [34,] -1.48489547  1.81073475  1.6544013023
 [35,]  2.61303306  0.67996502  1.9725704193
 [36,] -0.46511292 -1.16579247 -1.0263140202
 [37,] -1.13770616  2.89617920  0.4028196335
 [38,] -0.29827762 -3.25605869 -1.5160598755
 [39,]  4.29910851 -4.24460697  2.8137207031
 [40,] -0.38727760  0.96741772  3.9700913429
 [41,]  1.08190989  7.25521183  1.1912894249
 [42,] -0.50580263 -0.88485146 -1.7467160225
 [43,] -0.15178370 -5.56662560 -1.8678069115
 [44,] -1.31651056  2.21879101 -1.4287974834
 [45,] -0.89293981 -1.65443230  0.3329420090
 [46,]  3.13825250 -2.59711742  1.8067293167
 [47,]  1.92140508  6.11369896  1.1592550278
 [48,]  1.47883391  5.05174541  1.3849768639
 [49,]  3.92977309 -4.23847771  2.7703185081
 [50,]  1.58037257  0.22155952  1.5865316391
 [51,] -0.40404963 -1.84728718  0.1430506706
 [52,] -0.51853514 -0.29876232 -1.3134098053
 [53,] -0.87059212  0.33928680 -0.9747867584
 [54,]  4.23152256 -0.89870930  2.6615190506
 [55,]  4.13487053 -1.73112106  2.7147378922
 [56,] -1.74455500  6.25400400 -2.4197406769
 [57,]  4.22367668 -2.68418503  2.8086233139
 [58,]  3.15935254  1.43015003  2.1654515266
 [59,] -0.52063584 -1.34667015  0.1701478958
 [60,]  1.82545257  3.61570597  1.7679595947
 [61,] -1.03400159  0.39310360 -0.5368986130
 [62,] -0.25705743 -4.03071308 -2.0155444145
 [63,] -1.09810865  0.75522518 -1.3845729828
 [64,]  5.37910461 -1.51299381  3.8142600060
 [65,] -0.83697128 -0.47427750  0.6200275421
 [66,]  2.32827163  3.56606150  1.3546810150
 [67,]  4.65880108 -1.74279022  3.3267979622
 [68,] -1.27301049  2.80637026 -2.0831174850
 [69,]  0.84088111 -8.34616661  0.6617512703
 [70,] -0.85938048 -1.48820686  0.1280403137
 [71,] -1.22556031  1.84368229  0.5647039413
 [72,] -3.18212175  8.90177345 -0.6448750496
 [73,] -0.66315269 -5.72978210 -0.3920226097
 [74,]  1.92002225  0.82026768  1.8274817467
 [75,] -0.89411759  1.93257523 -1.3278279305
 [76,] -2.01574850  6.57918549 -1.4573380947
 [77,] -0.34185529 -3.19747257  3.8830447197
 [78,] -0.57493067 -1.35965157 -0.6909027100
 [79,] -0.89879751 -1.28104973 -1.6807651520
 [80,] -0.23840976 -3.40552616 -1.5200319290
 [81,]  1.48593402  4.34757996  1.1331448555
 [82,] -0.17517734 -8.24206734  0.8519382477
 [83,]  4.11075974  0.48736382  2.5014524460
 [84,] -1.43646932  1.07779408  0.3947262764
 [85,] -0.37523484 -4.71688366 -1.2535889149
 [86,] -0.79097176 -1.15112400 -1.7701158524
 [87,]  1.42403722  2.87074232  1.3231034279
 [88,] -0.84289694  3.36698914 -1.5597665310
 [89,]  3.29301858  4.47715759  2.4170703888
 [90,] -0.51437950 -3.89182472 -1.3747076988
 [91,] -1.87843382 -5.75784874  5.2892222404
 [92,] -0.22622466 -2.86155033 -1.8480160236
 [93,] -0.96433854  0.02214813 -0.1088013649
 [94,]  3.38810706 -0.08587933  2.2995457649
 [95,] -0.76194549 -3.41757774  0.5672416687
 [96,] -2.17818451  6.44901705 -1.1701769829
 [97,]  3.38914418  2.53134537  1.5528755188
 [98,] -1.02075315  4.77450371 -1.5577361584
 [99,] -0.89049816  0.56589603 -2.0285944939
[100,]  1.92002225  0.82026768  1.8274817467
[101,]  5.71517944 -3.96443748  4.9421496391
[102,] -1.33822620  2.96017981 -1.4519650936
[103,] -1.80002618  5.00993347 -1.8215703964
[104,] -1.29396844  1.06496048 -1.3061294556
[105,] -1.37048221  1.57760620 -1.2505352497
[106,]  3.01415277 -1.69510269  1.8602657318
[107,] -0.99509001  2.26704788 -1.7277052402
[108,] -1.97928059  6.01932764 -0.0647134781
[109,] -1.19045746  1.53964043 -0.4214072227
[110,] -0.28811622 -1.52911949 -1.5219924450
[111,]  4.03525066  0.93435478  2.4848780632
[112,] -0.56264043 -0.94452095 -0.5471801758
[113,]  0.19762874 -5.80158424 -0.1221156120
[114,] -1.52544236  3.25663900  0.1929349899
[115,] -0.96113729  0.88845158 -0.3604931831
[116,] -1.58202600  3.35876799 -0.7964444160
[117,] -0.04105926 -4.40117264 -0.7409009933
[118,]  1.06735492  5.00998878  1.2345318794
[119,]  0.48458433  6.62630653  1.4196591377
[120,]  3.52974963  1.62638855  2.0645852089
[121,]  1.19745278  2.69473457  1.6402616501
[122,]  0.11493611  6.42644691  1.3993444443
[123,]  0.75630260 -7.88469124  0.0007896423
[124,]  1.59052014  0.89344120  1.9143586159
[125,]  0.87531614 -9.60363960  2.3908686638
[126,]  3.41370416 -0.89019966  2.2089409828
[127,] -1.43859935  3.77123547 -1.5395734310
